Abkhazia,0px 0px
Afghanistan,0px -32px
Aland,0px -64px
Albania,0px -96px
Algeria,0px -128px
American-Samoa,0px -160px
Andorra,0px -192px
Angola,0px -224px
Anguilla,0px -256px
Antarctica,0px -288px
Antigua-and-Barbuda,0px -320px
Argentina,0px -352px
Armenia,0px -384px
Aruba,0px -416px
Australia,0px -448px
Austria,0px -480px
Azerbaijan,0px -512px
Bahamas,0px -544px
Bahrain,0px -576px
Bangladesh,0px -608px
Barbados,0px -640px
Basque-Country,0px -672px
Belarus,0px -704px
Belgium,0px -736px
Belize,0px -768px
Benin,0px -800px
Bermuda,0px -832px
Bhutan,0px -864px
Bolivia,0px -896px
Bosnia-and-Herzegovina,0px -928px
Botswana,0px -960px
Brazil,0px -992px
British-Antarctic-Territory,0px -1024px
British-Virgin-Islands,0px -1056px
Brunei,0px -1088px
Bulgaria,0px -1120px
Burkina-Faso,0px -1152px
Burundi,0px -1184px
Cambodia,0px -1216px
Cameroon,0px -1248px
Canada,0px -1280px
Canary-Islands,0px -1312px
Cape-Verde,0px -1344px
Cayman-Islands,0px -1376px
Central-African-Republic,0px -1408px
Chad,0px -1440px
Chile,0px -1472px
China,0px -1504px
Christmas-Island,0px -1536px
Cocos-Keeling-Islands,0px -1568px
Colombia,0px -1600px
Commonwealth,0px -1632px
Comoros,0px -1664px
Cook-Islands,0px -1696px
Costa-Rica,0px -1728px
Cote-dIvoire,0px -1760px
Croatia,0px -1792px
Cuba,0px -1824px
Curacao,0px -1856px
Cyprus,0px -1888px
Czech-Republic,0px -1920px
Democratic-Republic-of-the-Congo,0px -1952px
Denmark,0px -1984px
Djibouti,0px -2016px
Dominica,0px -2048px
Dominican-Republic,0px -2080px
East-Timor,0px -2112px
Ecuador,0px -2144px
Egypt,0px -2176px
El-Salvador,0px -2208px
England,0px -2240px
Equatorial-Guinea,0px -2272px
Eritrea,0px -2304px
Estonia,0px -2336px
Ethiopia,0px -2368px
European-Union,0px -2400px
Falkland-Islands,0px -2432px
Faroes,0px -2464px
Fiji,0px -2496px
Finland,0px -2528px
France,0px -2560px
French-Polynesia,0px -2592px
French-Southern-Territories,0px -2624px
Gabon,0px -2656px
Gambia,0px -2688px
Georgia,0px -2720px
Germany,0px -2752px
Ghana,0px -2784px
Gibraltar,0px -2816px
GoSquared,0px -2848px
Greece,0px -2880px
Greenland,0px -2912px
Grenada,0px -2944px
Guam,0px -2976px
Guatemala,0px -3008px
Guernsey,0px -3040px
Guinea,0px -3072px
Guinea-Bissau,0px -3104px
Guyana,0px -3136px
Haiti,0px -3168px
Honduras,0px -3200px
Hong-Kong,0px -3232px
Hungary,0px -3264px
Iceland,0px -3296px
India,0px -3328px
Indonesia,0px -3360px
Iran,0px -3392px
Iraq,0px -3424px
Ireland,0px -3456px
Isle-of-Man,0px -3488px
Israel,0px -3520px
Italy,0px -3552px
Jamaica,0px -3584px
Japan,0px -3616px
Jersey,0px -3648px
Jordan,0px -3680px
Kazakhstan,0px -3712px
Kenya,0px -3744px
Kiribati,0px -3776px
Kosovo,0px -3808px
Kuwait,0px -3840px
Kyrgyzstan,0px -3872px
Laos,0px -3904px
Latvia,0px -3936px
Lebanon,0px -3968px
Lesotho,0px -4000px
Liberia,0px -4032px
Libya,0px -4064px
Liechtenstein,0px -4096px
Lithuania,0px -4128px
Luxembourg,0px -4160px
Macau,0px -4192px
Macedonia,0px -4224px
Madagascar,0px -4256px
Malawi,0px -4288px
Malaysia,0px -4320px
Maldives,0px -4352px
Mali,0px -4384px
Malta,0px -4416px
Mars,0px -4448px
Marshall-Islands,0px -4480px
Martinique,0px -4512px
Mauritania,0px -4544px
Mauritius,0px -4576px
Mayotte,0px -4608px
Mexico,0px -4640px
Micronesia,0px -4672px
Moldova,0px -4704px
Monaco,0px -4736px
Mongolia,0px -4768px
Montenegro,0px -4800px
Montserrat,0px -4832px
Morocco,0px -4864px
Mozambique,0px -4896px
Myanmar,0px -4928px
Nagorno-Karabakh,0px -4960px
Namibia,0px -4992px
NATO,0px -5024px
Nauru,0px -5056px
Nepal,0px -5088px
Netherlands,0px -5120px
Netherlands-Antilles,0px -5152px
New-Caledonia,0px -5184px
New-Zealand,0px -5216px
Nicaragua,0px -5248px
Niger,0px -5280px
Nigeria,0px -5312px
Niue,0px -5344px
Norfolk-Island,0px -5376px
Northern-Cyprus,0px -5408px
Northern-Mariana-Islands,0px -5440px
North-Korea,0px -5472px
Norway,0px -5504px
Olympics,0px -5536px
Oman,0px -5568px
Pakistan,0px -5600px
Palau,0px -5632px
Palestine,0px -5664px
Panama,0px -5696px
Papua-New-Guinea,0px -5728px
Paraguay,0px -5760px
Peru,0px -5792px
Philippines,0px -5824px
Pitcairn-Islands,0px -5856px
Poland,0px -5888px
Portugal,0px -5920px
Puerto-Rico,0px -5952px
Qatar,0px -5984px
Red-Cross,0px -6016px
Republic-of-the-Congo,0px -6048px
Romania,0px -6080px
Russia,0px -6112px
Rwanda,0px -6144px
Saint-Barthelemy,0px -6176px
Saint-Helena,0px -6208px
Saint-Kitts-and-Nevis,0px -6240px
Saint-Lucia,0px -6272px
Saint-Martin,0px -6304px
Saint-Vincent-and-the-Grenadines,0px -6336px
Samoa,0px -6368px
San-Marino,0px -6400px
Sao-Tome-and-Principe,0px -6432px
Saudi-Arabia,0px -6464px
Scotland,0px -6496px
Senegal,0px -6528px
Serbia,0px -6560px
Seychelles,0px -6592px
Sierra-Leone,0px -6624px
Singapore,0px -6656px
Slovakia,0px -6688px
Slovenia,0px -6720px
Solomon-Islands,0px -6752px
Somalia,0px -6784px
Somaliland,0px -6816px
South-Africa,0px -6848px
South-Georgia-and-the-South-Sandwich-Islands,0px -6880px
South-Korea,0px -6912px
South-Ossetia,0px -6944px
South-Sudan,0px -6976px
Spain,0px -7008px
Sri-Lanka,0px -7040px
Sudan,0px -7072px
Suriname,0px -7104px
Swaziland,0px -7136px
Sweden,0px -7168px
Switzerland,0px -7200px
Syria,0px -7232px
Taiwan,0px -7264px
Tajikistan,0px -7296px
Tanzania,0px -7328px
Thailand,0px -7360px
Togo,0px -7392px
Tokelau,0px -7424px
Tonga,0px -7456px
Trinidad-and-Tobago,0px -7488px
Tunisia,0px -7520px
Turkey,0px -7552px
Turkmenistan,0px -7584px
Turks-and-Caicos-Islands,0px -7616px
Tuvalu,0px -7648px
Uganda,0px -7680px
Ukraine,0px -7712px
United-Arab-Emirates,0px -7744px
United-Kingdom,0px -7776px
United-States,0px -7808px
United-Nations,0px -7840px
Unknown,0px -7872px
Uruguay,0px -7904px
US-Virgin-Islands,0px -7936px
Uzbekistan,0px -7968px
Vanuatu,0px -8000px
Vatican-City,0px -8032px
Venezuela,0px -8064px
Vietnam,0px -8096px
Wales,0px -8128px
Wallis-And-Futuna,0px -8160px
Western-Sahara,0px -8192px
Yemen,0px -8224px
Zambia,0px -8256px
Zimbabwe,0px -8288px
