Nettoforbruk av elektrisk kraft (GWh), etter region, forbrukargruppe, tid  og ;;;;;
 statistikkvariabel;;;;;
;;;;;
 ; ;2011;2012;2013;2014
 ; ;Forbruk i alt;Forbruk i alt;Forbruk i alt;Forbruk i alt
Halden;;;;;
 ;ALLE FORBRUKARGRUPPER;1350.7;1623.5;1623.1;1511.0
 ;BERGVERKSDRIFT OG INDUSTRI MV.;1001.5;1261.4;1267.3;1170.6
 ;TENESTEYTING MV.;129.0;130.3;128.7;123.8
 ;HUSHALD OG JORDBRUK;220.2;231.8;227.1;216.6
 ;Primærnæringer;7.6;7.9;7.8;7.2
 ;Hushald;205.4;216.8;211.7;202.4
 ;Hytter og fritidshus;7.2;7.1;7.6;7.1
Moss;;;;;
 ;ALLE FORBRUKARGRUPPER;697.0;554.6;478.2;456.9
 ;BERGVERKSDRIFT OG INDUSTRI MV.;321.5;161.3;91.8;82.6
 ;TENESTEYTING MV.;177.7;186.0;173.4;169.9
 ;HUSHALD OG JORDBRUK;197.8;207.3;213.0;204.5
 ;Primærnæringer;3.3;5.6;5.1;5.3
 ;Hushald;192.3;199.6;205.7;197.1
 ;Hytter og fritidshus;2.1;2.2;2.2;2.1
Sarpsborg;;;;;
 ;ALLE FORBRUKARGRUPPER;1431.7;1507.2;1558.1;1460.8
 ;BERGVERKSDRIFT OG INDUSTRI MV.;828.3;889.6;932.6;865.2
 ;TENESTEYTING MV.;246.0;241.6;238.3;232.9
 ;HUSHALD OG JORDBRUK;357.4;376.1;387.3;362.7
 ;Primærnæringer;10.3;11.2;10.0;9.3
 ;Hushald;335.4;352.0;363.2;340.6
 ;Hytter og fritidshus;11.7;12.9;14.0;12.7
Fredrikstad;;;;;
 ;ALLE FORBRUKARGRUPPER;1101.4;1117.6;1136.6;1103.9
 ;BERGVERKSDRIFT OG INDUSTRI MV.;271.0;270.6;276.8;292.5
 ;TENESTEYTING MV.;291.4;307.0;299.6;287.6
 ;HUSHALD OG JORDBRUK;539.0;540.0;560.2;523.9
 ;Primærnæringer;5.0;5.7;5.5;5.0
 ;Hushald;515.8;516.4;535.4;500.4
 ;Hytter og fritidshus;18.2;17.9;19.3;18.6
Hvaler;;;;;
 ;ALLE FORBRUKARGRUPPER;70.3;70.5;73.1;68.9
 ;BERGVERKSDRIFT OG INDUSTRI MV.;0.5;0.5;0.7;0.4
 ;TENESTEYTING MV.;14.1;13.7;14.2;14.9
 ;HUSHALD OG JORDBRUK;55.7;56.3;58.3;53.6
 ;Primærnæringer;0.3;0.3;0.2;0.1
 ;Hushald;33.9;35.2;36.5;33.3
 ;Hytter og fritidshus;21.4;20.8;21.5;20.1
Aremark;;;;;
 ;ALLE FORBRUKARGRUPPER;16.2;17.0;17.2;16.9
 ;BERGVERKSDRIFT OG INDUSTRI MV.;0.6;0.6;0.5;0.5
 ;TENESTEYTING MV.;3.7;3.9;3.9;3.7
 ;HUSHALD OG JORDBRUK;11.9;12.5;12.8;12.7
 ;Primærnæringer;1.7;1.8;1.8;1.6
 ;Hushald;8.5;9.0;9.1;9.2
 ;Hytter og fritidshus;1.7;1.7;1.8;1.8
Marker;;;;;
 ;ALLE FORBRUKARGRUPPER;41.8;43.9;44.6;43.0
 ;BERGVERKSDRIFT OG INDUSTRI MV.;3.8;3.8;3.7;3.4
 ;TENESTEYTING MV.;11.2;11.6;11.2;10.9
 ;HUSHALD OG JORDBRUK;26.9;28.6;29.7;28.6
 ;Primærnæringer;3.2;3.5;3.5;3.7
 ;Hushald;22.0;23.5;24.4;23.4
 ;Hytter og fritidshus;1.6;1.6;1.8;1.6
Rømskog;;;;;
 ;ALLE FORBRUKARGRUPPER;9.3;10.0;10.2;9.5
 ;BERGVERKSDRIFT OG INDUSTRI MV.;1.0;1.0;0.9;0.7
 ;TENESTEYTING MV.;3.0;3.2;3.4;3.3
 ;HUSHALD OG JORDBRUK;5.4;5.8;5.9;5.5
 ;Primærnæringer;0.1;0.1;0.1;0.2
 ;Hushald;5.0;5.3;5.4;5.0
 ;Hytter og fritidshus;0.2;0.3;0.3;0.3
Trøgstad;;;;;
 ;ALLE FORBRUKARGRUPPER;60.2;63.1;65.5;62.3
 ;BERGVERKSDRIFT OG INDUSTRI MV.;4.5;4.6;4.8;4.8
 ;TENESTEYTING MV.;14.4;15.4;16.7;16.3
 ;HUSHALD OG JORDBRUK;41.3;43.1;44.1;41.1
 ;Primærnæringer;9.3;9.5;9.3;8.2
 ;Hushald;30.8;32.4;33.5;31.7
 ;Hytter og fritidshus;1.2;1.3;1.3;1.2
Spydeberg;;;;;
 ;ALLE FORBRUKARGRUPPER;63.5;67.0;67.6;65.8
 ;BERGVERKSDRIFT OG INDUSTRI MV.;4.7;4.7;4.7;4.7
 ;TENESTEYTING MV.;18.8;19.3;18.7;18.3
 ;HUSHALD OG JORDBRUK;40.1;43.0;44.3;42.8
 ;Primærnæringer;4.0;4.0;4.1;3.9
 ;Hushald;33.8;36.6;37.7;36.6
 ;Hytter og fritidshus;2.3;2.3;2.5;2.3
Askim;;;;;
 ;ALLE FORBRUKARGRUPPER;242.1;251.5;250.2;237.9
 ;BERGVERKSDRIFT OG INDUSTRI MV.;69.6;73.0;69.6;66.0
 ;TENESTEYTING MV.;70.3;70.1;70.0;66.1
 ;HUSHALD OG JORDBRUK;102.2;108.4;110.6;105.9
 ;Primærnæringer;2.9;3.0;2.9;2.5
 ;Hushald;99.3;105.4;107.7;103.3
 ;Hytter og fritidshus;0.0;0.0;0.0;0.0
Eidsberg;;;;;
 ;ALLE FORBRUKARGRUPPER;157.8;162.3;164.7;158.5
 ;BERGVERKSDRIFT OG INDUSTRI MV.;32.8;32.0;31.2;32.1
 ;TENESTEYTING MV.;44.1;45.7;45.7;42.6
 ;HUSHALD OG JORDBRUK;80.8;84.6;87.8;83.7
 ;Primærnæringer;6.6;6.4;6.6;6.0
 ;Hushald;74.0;78.0;80.9;77.5
 ;Hytter og fritidshus;0.3;0.3;0.3;0.3
Skiptvet;;;;;
 ;ALLE FORBRUKARGRUPPER;35.9;37.6;37.8;36.6
 ;BERGVERKSDRIFT OG INDUSTRI MV.;1.3;1.2;1.1;1.2
 ;TENESTEYTING MV.;8.2;8.5;8.2;8.3
 ;HUSHALD OG JORDBRUK;26.4;27.9;28.5;27.1
 ;Primærnæringer;4.5;4.4;4.5;4.0
 ;Hushald;20.7;22.3;22.7;21.9
 ;Hytter og fritidshus;1.3;1.2;1.3;1.3
Rakkestad;;;;;
 ;ALLE FORBRUKARGRUPPER;107.6;113.1;117.3;113.4
 ;BERGVERKSDRIFT OG INDUSTRI MV.;24.7;25.3;26.1;26.1
 ;TENESTEYTING MV.;25.3;27.1;27.4;27.3
 ;HUSHALD OG JORDBRUK;57.5;60.7;63.8;60.1
 ;Primærnæringer;12.8;13.2;13.2;12.8
 ;Hushald;44.3;47.0;50.1;46.8
 ;Hytter og fritidshus;0.5;0.5;0.5;0.5
Råde;;;;;
 ;ALLE FORBRUKARGRUPPER;99.4;105.6;108.0;99.1
 ;BERGVERKSDRIFT OG INDUSTRI MV.;8.3;9.1;9.4;7.2
 ;TENESTEYTING MV.;24.2;25.4;26.2;22.6
 ;HUSHALD OG JORDBRUK;67.0;71.0;72.3;69.3
 ;Primærnæringer;9.7;10.9;13.5;13.8
 ;Hushald;52.4;56.2;54.9;51.9
 ;Hytter og fritidshus;4.9;4.0;4.0;3.7
Rygge;;;;;
 ;ALLE FORBRUKARGRUPPER;234.1;243.9;243.3;235.5
 ;BERGVERKSDRIFT OG INDUSTRI MV.;23.1;22.1;23.0;22.8
 ;TENESTEYTING MV.;84.7;89.2;86.2;84.4
 ;HUSHALD OG JORDBRUK;126.3;132.6;134.1;128.3
 ;Primærnæringer;19.1;16.0;16.2;16.5
 ;Hushald;101.2;109.4;110.4;104.9
 ;Hytter og fritidshus;6.0;7.1;7.5;7.0
Våler (Østf.);;;;;
 ;ALLE FORBRUKARGRUPPER;53.3;54.4;56.4;54.8
 ;BERGVERKSDRIFT OG INDUSTRI MV.;2.1;1.9;2.0;1.8
 ;TENESTEYTING MV.;15.0;14.3;14.6;14.5
 ;HUSHALD OG JORDBRUK;36.3;38.2;39.7;38.5
 ;Primærnæringer;4.4;4.8;4.8;4.6
 ;Hushald;31.2;32.8;34.3;33.3
 ;Hytter og fritidshus;0.7;0.7;0.7;0.7
Hobøl;;;;;
 ;ALLE FORBRUKARGRUPPER;46.8;49.9;51.2;50.3
 ;BERGVERKSDRIFT OG INDUSTRI MV.;0.9;1.1;1.0;1.1
 ;TENESTEYTING MV.;10.8;11.8;12.0;11.8
 ;HUSHALD OG JORDBRUK;35.1;37.1;38.2;37.3
 ;Primærnæringer;3.3;3.3;3.3;3.1
 ;Hushald;31.6;33.7;34.7;33.8
 ;Hytter og fritidshus;0.2;0.2;0.2;0.3
Vestby;;;;;
 ;ALLE FORBRUKARGRUPPER;204.9;220.9;227.7;218.7
 ;BERGVERKSDRIFT OG INDUSTRI MV.;7.7;8.4;8.5;8.7
 ;TENESTEYTING MV.;82.5;91.4;92.4;89.0
 ;HUSHALD OG JORDBRUK;114.7;121.1;126.7;121.0
 ;Primærnæringer;1.1;1.1;1.2;1.1
 ;Hushald;105.5;111.2;116.4;111.3
 ;Hytter og fritidshus;8.1;8.7;9.1;8.5
Ski;;;;;
 ;ALLE FORBRUKARGRUPPER;376.0;391.4;401.7;394.1
 ;BERGVERKSDRIFT OG INDUSTRI MV.;37.1;40.5;41.0;43.8
 ;TENESTEYTING MV.;145.9;152.7;157.0;158.2
 ;HUSHALD OG JORDBRUK;193.1;198.2;203.7;192.1
 ;Primærnæringer;1.8;2.0;1.7;1.9
 ;Hushald;190.7;195.6;201.4;189.6
 ;Hytter og fritidshus;0.6;0.6;0.6;0.6
Ås;;;;;
 ;ALLE FORBRUKARGRUPPER;241.0;249.3;259.6;252.8
 ;BERGVERKSDRIFT OG INDUSTRI MV.;8.3;8.6;11.2;12.6
 ;TENESTEYTING MV.;110.7;116.6;114.1;111.3
 ;HUSHALD OG JORDBRUK;122.0;124.1;134.3;128.8
 ;Primærnæringer;3.2;3.3;3.0;2.7
 ;Hushald;116.2;118.3;128.3;123.2
 ;Hytter og fritidshus;2.6;2.4;3.0;2.8
Frogn;;;;;
 ;ALLE FORBRUKARGRUPPER;176.8;183.3;194.6;186.8
 ;BERGVERKSDRIFT OG INDUSTRI MV.;0.7;0.8;1.2;1.0
 ;TENESTEYTING MV.;48.9;50.1;54.4;53.0
 ;HUSHALD OG JORDBRUK;127.2;132.4;139.0;132.8
 ;Primærnæringer;2.9;3.4;2.9;2.8
 ;Hushald;111.1;115.4;121.1;115.4
 ;Hytter og fritidshus;13.2;13.6;14.9;14.6
Nesodden;;;;;
 ;ALLE FORBRUKARGRUPPER;199.1;210.2;216.3;195.5
 ;BERGVERKSDRIFT OG INDUSTRI MV.;1.3;1.2;1.3;1.1
 ;TENESTEYTING MV.;46.0;48.7;50.4;45.5
 ;HUSHALD OG JORDBRUK;151.8;160.3;164.7;148.8
 ;Primærnæringer;10.1;14.0;12.7;13.9
 ;Hushald;138.1;142.3;147.7;131.0
 ;Hytter og fritidshus;3.6;4.0;4.2;3.9
Oppegård;;;;;
 ;ALLE FORBRUKARGRUPPER;273.4;287.0;290.4;281.5
 ;BERGVERKSDRIFT OG INDUSTRI MV.;3.5;3.8;3.4;5.5
 ;TENESTEYTING MV.;92.6;94.2;97.8;97.3
 ;HUSHALD OG JORDBRUK;177.3;189.0;189.2;178.8
 ;Primærnæringer;0.1;0.1;0.2;0.2
 ;Hushald;176.8;188.4;188.6;178.3
 ;Hytter og fritidshus;0.4;0.4;0.4;0.3
Bærum;;;;;
 ;ALLE FORBRUKARGRUPPER;1510.6;1534.7;1584.4;1534.1
 ;BERGVERKSDRIFT OG INDUSTRI MV.;98.7;109.1;100.7;114.8
 ;TENESTEYTING MV.;570.5;546.8;585.3;573.2
 ;HUSHALD OG JORDBRUK;841.4;878.8;898.4;846.1
 ;Primærnæringer;2.4;2.5;2.4;2.0
 ;Hushald;836.4;874.0;893.5;841.7
 ;Hytter og fritidshus;2.6;2.2;2.5;2.4
Asker;;;;;
 ;ALLE FORBRUKARGRUPPER;769.5;820.2;857.7;840.8
 ;BERGVERKSDRIFT OG INDUSTRI MV.;46.9;50.4;61.2;84.2
 ;TENESTEYTING MV.;256.4;269.5;291.4;273.6
 ;HUSHALD OG JORDBRUK;466.2;500.3;505.1;483.0
 ;Primærnæringer;26.4;29.6;30.7;30.3
 ;Hushald;437.6;468.5;471.9;450.4
 ;Hytter og fritidshus;2.2;2.2;2.5;2.3
Aurskog-Høland;;;;;
 ;ALLE FORBRUKARGRUPPER;187.8;201.6;198.7;188.8
 ;BERGVERKSDRIFT OG INDUSTRI MV.;27.2;32.2;26.6;25.6
 ;TENESTEYTING MV.;42.7;45.0;45.2;42.2
 ;HUSHALD OG JORDBRUK;118.0;124.4;126.9;120.9
 ;Primærnæringer;6.5;6.5;7.0;6.3
 ;Hushald;107.8;114.2;116.1;111.1
 ;Hytter og fritidshus;3.7;3.7;3.8;3.5
Sørum;;;;;
 ;ALLE FORBRUKARGRUPPER;174.8;178.8;186.2;177.9
 ;BERGVERKSDRIFT OG INDUSTRI MV.;15.1;15.3;14.2;14.1
 ;TENESTEYTING MV.;45.4;44.9;48.7;46.5
 ;HUSHALD OG JORDBRUK;114.3;118.6;123.3;117.3
 ;Primærnæringer;2.2;2.1;2.1;2.0
 ;Hushald;111.8;116.1;120.9;115.1
 ;Hytter og fritidshus;0.3;0.4;0.3;0.3
Fet;;;;;
 ;ALLE FORBRUKARGRUPPER;116.1;130.1;120.3;114.4
 ;BERGVERKSDRIFT OG INDUSTRI MV.;8.9;16.6;16.4;14.6
 ;TENESTEYTING MV.;29.8;30.3;22.5;22.9
 ;HUSHALD OG JORDBRUK;77.4;83.2;81.4;76.8
 ;Primærnæringer;0.9;0.8;0.6;0.4
 ;Hushald;75.6;81.4;80.0;75.6
 ;Hytter og fritidshus;0.8;0.9;0.8;0.8
Rælingen;;;;;
 ;ALLE FORBRUKARGRUPPER;148.0;164.3;163.8;158.4
 ;BERGVERKSDRIFT OG INDUSTRI MV.;16.5;27.4;24.1;22.0
 ;TENESTEYTING MV.;25.7;27.1;27.0;26.1
 ;HUSHALD OG JORDBRUK;105.7;109.8;112.8;110.3
 ;Primærnæringer;0.5;0.5;0.5;0.5
 ;Hushald;105.0;109.1;112.0;109.6
 ;Hytter og fritidshus;0.3;0.3;0.3;0.3
Enebakk;;;;;
 ;ALLE FORBRUKARGRUPPER;104.9;109.6;115.1;107.2
 ;BERGVERKSDRIFT OG INDUSTRI MV.;2.0;2.2;2.2;2.1
 ;TENESTEYTING MV.;24.6;25.2;28.0;25.6
 ;HUSHALD OG JORDBRUK;78.3;82.2;84.9;79.5
 ;Primærnæringer;1.1;1.2;0.9;0.9
 ;Hushald;75.3;78.8;81.5;76.2
 ;Hytter og fritidshus;2.0;2.2;2.5;2.3
Lørenskog;;;;;
 ;ALLE FORBRUKARGRUPPER;469.6;484.6;478.4;457.3
 ;BERGVERKSDRIFT OG INDUSTRI MV.;62.7;66.4;63.3;59.6
 ;TENESTEYTING MV.;186.5;187.4;181.5;177.0
 ;HUSHALD OG JORDBRUK;220.4;230.8;233.6;220.7
 ;Primærnæringer;0.3;0.3;0.3;0.2
 ;Hushald;220.1;230.5;233.4;220.4
 ;Hytter og fritidshus;0.0;0.0;0.0;0.0
Skedsmo;;;;;
 ;ALLE FORBRUKARGRUPPER;831.8;852.7;868.3;844.1
 ;BERGVERKSDRIFT OG INDUSTRI MV.;138.6;142.3;112.7;136.2
 ;TENESTEYTING MV.;368.0;367.3;405.3;379.9
 ;HUSHALD OG JORDBRUK;325.2;343.1;350.3;328.0
 ;Primærnæringer;4.5;5.2;3.8;3.6
 ;Hushald;320.7;337.7;346.3;324.2
 ;Hytter og fritidshus;0.1;0.1;0.2;0.2
Nittedal;;;;;
 ;ALLE FORBRUKARGRUPPER;290.5;316.2;316.1;303.9
 ;BERGVERKSDRIFT OG INDUSTRI MV.;61.8;70.8;72.6;73.5
 ;TENESTEYTING MV.;76.2;80.0;78.1;74.3
 ;HUSHALD OG JORDBRUK;152.5;165.4;165.4;156.1
 ;Primærnæringer;1.7;1.8;4.2;1.7
 ;Hushald;149.8;162.3;160.1;153.3
 ;Hytter og fritidshus;1.0;1.3;1.1;1.1
Gjerdrum;;;;;
 ;ALLE FORBRUKARGRUPPER;61.6;68.6;64.8;62.1
 ;BERGVERKSDRIFT OG INDUSTRI MV.;4.2;4.3;4.7;5.2
 ;TENESTEYTING MV.;12.1;15.2;12.5;11.2
 ;HUSHALD OG JORDBRUK;45.3;49.0;47.6;45.6
 ;Primærnæringer;0.5;0.6;0.6;0.4
 ;Hushald;44.7;48.3;47.0;45.2
 ;Hytter og fritidshus;0.1;0.1;0.1;0.1
Ullensaker;;;;;
