"Innvandrere, etter region, kjønn, landbakgrunn, tid  og  statistikkvariabel"

" ";" ";" ";"1970";"1980";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016"
" ";" ";" ";"Innvandrere";"Innvandrere";"Innvandrere";"Innvandrere";"Innvandrere";"Innvandrere";"Innvandrere";"Innvandrere";"Innvandrere";"Innvandrere";"Innvandrere";"Innvandrere";"Innvandrere";"Innvandrere";"Innvandrere";"Innvandrere";"Innvandrere";"Innvandrere";"Innvandrere";"Innvandrere";"Innvandrere";"Innvandrere";"Innvandrere";"Innvandrere";"Innvandrere";"Innvandrere";"Innvandrere";"Innvandrere";"Innvandrere";"Innvandrere";"Innvandrere";"Innvandrere";"Innvandrere"
"Halden"
" ";"Kvinner"
" ";" ";"Europa unntatt Tyrkia";556;455;407;409;404;407;405;409;428;440;440;457;464;486;517;572;610;630;617;640;637;656;674;679;688;726;772;824;876;920;944;969;992
" ";" ";"Afrika";0;0;0;0;0;0;9;9;17;12;22;25;34;33;41;49;59;76;87;76;76;93;110;122;120;139;135;147;154;165;193;197;201
" ";" ";"Asia med Tyrkia";5;18;34;35;38;36;56;54;55;69;70;77;83;88;98;97;105;119;129;144;153;165;181;199;220;236;245;256;276;303;331;348;392
" ";" ";"Nord-Amerika";25;29;30;28;25;22;22;21;18;16;17;17;19;20;22;23;19;19;16;22;22;20;18;18;26;25;22;19;18;18;14;15;15
" ";" ";"Sør- og Mellom-Amerika";0;0;4;5;5;5;6;6;5;5;5;6;7;7;4;10;7;6;5;7;10;10;8;10;11;15;18;20;21;21;19;26;25
" ";" ";"Oseania";0;0;0;0;0;0;0;0;3;0;0;0;0;0;3;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";"Statsløse";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";"Uoppgitt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Moss"
" ";"Kvinner"
" ";" ";"Europa unntatt Tyrkia";263;299;308;317;327;332;338;340;340;340;340;367;364;385;406;417;465;458;467;497;516;527;559;603;632;689;748;809;880;932;996;1088;1130
" ";" ";"Afrika";0;13;9;9;10;14;14;18;17;18;14;19;18;17;17;19;24;25;25;34;33;51;72;84;133;156;202;207;224;253;281;293;299
" ";" ";"Asia med Tyrkia";6;113;183;216;258;302;316;324;331;329;335;356;368;367;384;407;432;474;511;529;550;593;626;652;673;693;737;770;813;841;856;877;892
" ";" ";"Nord-Amerika";23;26;22;21;21;22;23;21;20;21;26;23;26;28;24;19;21;22;24;27;25;26;22;19;19;20;24;20;23;21;21;22;32
" ";" ";"Sør- og Mellom-Amerika";3;10;8;8;8;10;9;9;11;10;11;11;13;15;18;22;23;21;25;23;33;33;38;36;39;44;50;53;58;55;58;61;63
" ";" ";"Oseania";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;3;3;3
" ";" ";"Statsløse";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";"Uoppgitt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sarpsborg"
" ";"Kvinner"
" ";" ";"Europa unntatt Tyrkia";0;0;0;0;0;0;0;0;474;480;474;502;525;541;577;623;656;717;769;848;898;977;1018;1082;1161;1316;1402;1505;1603;1692;1795;1827;1946
" ";" ";"Afrika";0;0;0;0;0;0;0;0;38;39;38;38;41;43;46;50;55;64;73;80;91;101;113;125;157;192;208;241;254;275;298;331;358
" ";" ";"Asia med Tyrkia";0;0;0;0;0;0;0;0;150;164;170;183;184;189;206;243;272;292;326;390;468;521;607;633;700;779;848;929;996;1075;1112;1148;1208
" ";" ";"Nord-Amerika";0;0;0;0;0;0;0;0;29;29;29;29;27;34;34;36;33;34;36;36;33;30;30;29;27;26;24;24;27;28;33;33;28
" ";" ";"Sør- og Mellom-Amerika";0;0;0;0;0;0;0;0;26;27;28;25;26;26;25;25;29;33;35;41;45;49;58;60;63;70;73;74;70;70;76;81;84
" ";" ";"Oseania";0;0;0;0;0;0;0;0;3;3;3;3;3;3;0;0;3;3;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
" ";" ";"Statsløse";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";"Uoppgitt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Fredrikstad"
" ";"Kvinner"
" ";" ";"Europa unntatt Tyrkia";0;0;0;0;0;0;0;0;0;0;660;728;780;820;945;1049;1084;1134;1157;1234;1272;1272;1292;1361;1453;1585;1700;1824;1957;2122;2207;2301;2372
" ";" ";"Afrika";0;0;0;0;0;0;0;0;0;0;56;52;59;67;79;92;102;99;125;140;182;237;305;324;374;387;432;460;488;535;569;586;644
" ";" ";"Asia med Tyrkia";0;0;0;0;0;0;0;0;0;0;179;195;207;224;269;312;356;399;458;570;680;783;904;997;1069;1149;1228;1301;1388;1455;1545;1605;1703
" ";" ";"Nord-Amerika";0;0;0;0;0;0;0;0;0;0;40;42;42;43;41;39;37;38;38;39;43;45;48;50;54;52;54;53;52;51;52;53;54
" ";" ";"Sør- og Mellom-Amerika";0;0;0;0;0;0;0;0;0;0;29;32;34;35;36;38;48;48;56;63;64;66;67;69;79;79;83;91;94;103;110;108;109
" ";" ";"Oseania";0;0;0;0;0;0;0;0;0;0;3;3;3;3;3;4;4;0;0;3;3;3;3;3;3;5;4;3;4;4;5;6;6
" ";" ";"Statsløse";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";"Uoppgitt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Hvaler"
" ";"Kvinner"
" ";" ";"Europa unntatt Tyrkia";37;34;34;33;34;34;35;37;37;35;37;39;42;39;41;38;34;33;37;43;44;45;43;41;53;51;54;57;60;67;71;77;88
" ";" ";"Afrika";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;3;9;13;14;17;16;19
