Innvandrere, etter region, kjønn, landbakgrunn, tid  og  statistikkvariabel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ; ; ;1970;1980;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
 ; ; ;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere
Halden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;Menn;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ; ;Europa unntatt Tyrkia;393;340;325;325;337;347;346;339;347;374;385;404;425;439;460;505;553;570;576;593;599;591;623;635;665;687;751;838;900;964;987;1028;1076
 ; ;Afrika;0;6;3;3;4;7;33;31;60;68;38;36;38;39;39;52;63;75;72;78;82;99;118;108;105;120;130;153;168;180;204;207;222
 ; ;Asia med Tyrkia;8;32;46;44;57;52;74;86;92;99;91;93;88;84;90;92;99;135;129;133;132;145;156;168;184;197;201;208;233;242;264;277;311
 ; ;Nord-Amerika;23;20;17;14;13;14;12;13;12;13;14;14;11;11;8;8;9;10;9;7;6;6;6;8;9;6;7;9;9;9;13;12;11
 ; ;Sør- og Mellom-Amerika;0;3;0;0;0;0;0;0;0;0;0;3;3;3;0;5;3;3;3;3;3;3;3;4;6;12;10;10;12;14;13;14;11
 ; ;Oseania;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;3;3;3;3;3;3;3;3
 ; ;Statsløse;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
 ; ;Uoppgitt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Moss;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;Menn;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ; ;Europa unntatt Tyrkia;303;327;317;325;329;317;312;305;318;310;299;327;345;366;402;399;418;434;450;472;464;488;516;574;717;842;891;947;1054;1167;1217;1292;1338
 ; ;Afrika;7;20;12;11;11;26;38;45;38;44;28;32;28;30;35;37;43;52;52;59;71;84;102;124;156;170;215;254;263;295;313;340;380
 ; ;Asia med Tyrkia;8;203;261;300;343;370;392;384;390;382;382;382;406;393;410;422;446;488;533;555;548;582;601;600;581;613;641;664;677;704;732;761;780
 ; ;Nord-Amerika;10;18;19;20;15;16;15;20;21;18;16;14;14;17;16;16;18;18;19;17;21;23;23;22;24;24;22;20;24;26;30;32;28
 ; ;Sør- og Mellom-Amerika;0;13;11;16;22;23;17;17;18;15;13;16;18;21;25;26;31;28;31;31;30;30;34;36;43;42;42;40;47;51;58;58;57
 ; ;Oseania;3;3;3;3;0;0;0;3;3;3;3;3;3;3;3;3;3;3;4;3;4;4;3;4;7;7;7;4;4;4;3;4;6
 ; ;Statsløse;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
 ; ;Uoppgitt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sarpsborg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;Menn;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ; ;Europa unntatt Tyrkia;0;0;0;0;0;0;0;0;414;408;401;415;432;460;516;571;604;664;735;815;862;944;1041;1212;1445;1621;1699;1825;2016;2130;2253;2235;2343
 ; ;Afrika;0;0;0;0;0;0;0;0;57;56;58;58;65;72;73;69;76;85;95;115;138;142;150;173;195;223;238;272;286;313;333;369;402
 ; ;Asia med Tyrkia;0;0;0;0;0;0;0;0;177;182;178;191;194;190;200;243;263;298;339;422;506;527;579;632;672;726;794;840;876;933;967;1008;1057
 ; ;Nord-Amerika;0;0;0;0;0;0;0;0;20;22;20;22;18;19;19;24;20;21;18;18;19;17;17;16;19;17;15;16;16;23;19;18;19
 ; ;Sør- og Mellom-Amerika;0;0;0;0;0;0;0;0;22;21;18;18;17;16;16;19;20;23;17;20;20;20;26;25;27;29;32;33;30;29;28;31;34
 ; ;Oseania;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;3;3;3;3;0;3;3;3;3;3;3;4;5;4;3;3
 ; ;Statsløse;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
 ; ;Uoppgitt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fredrikstad;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;Menn;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ; ;Europa unntatt Tyrkia;0;0;0;0;0;0;0;0;0;0;553;614;677;729;830;931;1003;1065;1104;1166;1195;1203;1223;1332;1501;1709;1836;2055;2466;2706;2740;2793;2822
 ; ;Afrika;0;0;0;0;0;0;0;0;0;0;68;71;82;84;96;109;117;125;141;166;214;265;317;335;388;425;459;510;530;575;610;628;694
 ; ;Asia med Tyrkia;0;0;0;0;0;0;0;0;0;0;200;210;219;238;292;333;366;410;484;591;666;745;844;940;1007;1087;1163;1232;1302;1391;1467;1520;1614
 ; ;Nord-Amerika;0;0;0;0;0;0;0;0;0;0;30;31;34;35;33;36;33;36;31;31;32;35;37;37;36;40;48;43;42;45;43;47;54
 ; ;Sør- og Mellom-Amerika;0;0;0;0;0;0;0;0;0;0;13;13;13;14;18;18;17;18;22;23;33;29;27;28;26;27;28;34;37;44;47;45;48
 ; ;Oseania;0;0;0;0;0;0;0;0;0;0;4;5;4;5;5;5;6;7;7;5;6;6;5;6;8;6;7;7;6;8;7;8;8
 ; ;Statsløse;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
 ; ;Uoppgitt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hvaler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
