"Omsetning per innbygger i detaljhandel (kr), etter region, tid  og "
" statistikkvariabel"

" ";"2008";"2009";"2010";"2011";"2012";"2013";"2014"
" ";"Omsetning";"Omsetning";"Omsetning";"Omsetning";"Omsetning";"Omsetning";"Omsetning"
"Halden";56266;56366;57210;58010;58787;59453;61332
"Moss";69916;69933;68390;70540;72721;72253;73384
"Sarpsborg";63674;62126;61733;62153;63121;61670;64439
"Fredrikstad";69040;68097;69244;69560;71186;73291;76267
"Hvaler";75027;74539;72445;72496;73858;75379;80001
"Aremark";14966;15351;15871;16928;17764;17711;18485
"Marker";42371;43524;41048;42913;39581;38128;40783
"Rømskog";16082;13396;12520;12515;11428;13709;15625
"Trøgstad";39404;35833;37691;37259;36541;35540;37492
"Spydeberg";66690;59657;64879;62370;59125;57143;59691
"Askim";61200;60757;59093;60595;60880;62616;64365
"Eidsberg";77288;75626;74728;72706;73713;73374;74646
"Skiptvet";17937;17532;19382;22339;22791;22669;25959
"Rakkestad";42057;43799;43382;44546;45470;45835;46014
"Råde";45209;44183;52590;54253;59363;56734;44861
"Rygge";105750;109383;114941;136839;119255;123381;125009
"Våler (Østf.)";13293;12789;12975;12579;11302;10862;10960
"Hobøl";22209;19617;17266;18322;18637;24112;24427
"Vestby";46582;51082;65360;70157;77140;83824;91253
"Ski";83906;89109;90410;91214;95528;95665;94983
"Ås";101399;98252;97003;93647;84767;87508;94318
"Frogn";65884;60619;61052;62712;63425;61074;61711
"Nesodden";37456;37504;37545;39610;45080;46068;46288
"Oppegård";82709;88206;91307;91377;90415;83485;89096
"Bærum";68206;68055;67925;67759;68099;68292;71289
"Asker";85951;86421;91980;94933;98760;99827;100681
"Aurskog-Høland";46827;46448;48898;51776;52040;52481;53055
"Sørum";26181;29126;30746;30609;34396;37225;38354
"Fet";22833;23048;25675;24526;26138;24648;24859
"Rælingen";13067;12663;13637;13474;13750;16130;17826
"Enebakk";27584;27430;29888;30990;32621;34918;37741
"Lørenskog";87036;92541;100190;99081;104195;104770;105437
"Skedsmo";114090;111146;107832;109010;113561;118721;121456
"Nittedal";36041;35818;37241;39580;40946;43227;46025
"Gjerdrum";29115;31104;29914;30202;29419;29176;29095
"Ullensaker";180381;183604;184680;192690;197304;204660;208395
"Nes (Ak.)";41751;41872;41252;41329;42475;43406;44525
"Eidsvoll";51040;51238;52245;52509;51577;50728;54897
"Nannestad";30644;31098;31118;33640;32401;33265;34070
"Hurdal";26540;28182;27756;28712;31062;30575;32180
"Oslo kommune";77629;77344;78563;79444;80809;82661;83794
"Kongsvinger";73336;73677;75125;75898;77799;79740;80562
"Hamar";95405;96946;96670;98650;95966;94675;101468
"Ringsaker";55315;56878;58189;60479;65910;68338;70315
"Løten";31784;34398;35987;37776;39094;40777;41257
"Stange";36240;37817;38827;38823;38595;39113;39605
"Nord-Odal";30286;31224;30509;30861;30768;35798;39631
"Sør-Odal";38691;39159;39714;40534;41266;43800;45713
"Eidskog";34723;35379;37526;36566;36962;36840;35346
"Grue";34476;34863;32682;39123;40401;39578;43346
"Åsnes";61443;61945;65773;62810;63277;63886;64801
"Våler (Hedm.)";26604;29688;31520;33286;33298;34836;35249
"Elverum";80681;80785;79960;80201;82258;85254;85672
"Trysil";84212;85010;85995;85025;86265;85271;91334
"Åmot";55301;58007;59078;60810;62926;66327;65157
"Stor-Elvdal";56213;53560;52661;51997;52523;54788;50439
"Rendalen";35773;36052;33827;35537;37078;38267;40089
"Engerdal";34802;34630;34597;36732;36813;37640;39967
"Tolga";26762;27588;27451;27566;24058;23902;25316
"Tynset";106001;110136;110420;114067;113071;113757;114149
"Alvdal";37059;37436;34182;32358;33098;33311;34441
"Folldal";42727;44885;43531;43967;46720;45425;46027
"Os (Hedm.)";21191;20998;22109;20352;21689;19751;20172
"Lillehammer";91182;92385;93722;96398;97735;98806;102049
"Gjøvik";81033;82650;84169;85469;88405;90447;93002
"Dovre";64153;71405;71296;73159;73827;73755;76459
"Lesja";30517;32533;32327;32377;35036;37637;37921
"Skjåk";42064;43207;41884;40629;39934;41546;44150
"Lom";62560;67698;69479;78130;83257;78044;84198
"Vågå";47207;51199;49656;49830;48275;46776;50778
"Nord-Fron";77429;77274;74574;74756;74414;77227;83346
"Sel";87315;87416;86822;86014;90203;85830;88503
